conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1961320770946453529,Fri Aug 29 22:24:02 +0000 2025,0,@prabowo Batalkan kenaikan gaji &amp; tunjangan anggota dpr Hapus pensiun seumur hidup anggota dpr Pecat anggota dpr yg mulutnya belangsak &amp; arogan Pecat menteri² korup Sahkan UU perampasan aset dijamin rakyat seluruh indonesia akan mendukung anda pak @prabowo,1961555471351124157,,prabowo,in,,0,0,0,https://x.com/undefined/status/1961555471351124157,75614872,
1961555208783487331,Fri Aug 29 22:23:00 +0000 2025,0,Pak @prabowo kalau tidak mau membubarkan DPR paling tidak hentikan/desak pimpinan partai untuk pecat tiga anggota dewan ini. Juga batalkan kenaikan gaji anggota DPR.,1961555208783487331,,,in,,0,0,0,https://x.com/undefined/status/1961555208783487331,390519225,
1961256163619811838,Fri Aug 29 22:22:21 +0000 2025,1,@Robiaji86 @azissubekti @99propaganda @Bambangmulyonoo @BANGSAygSUJUD @florieliciouss @Kimberley_PS08 @Ndons_Back @IrawanRommi @MIrvanDarwin1 @DarekaRendy Bodoh... Awal demo Krn protes gaji dan tunjangan DPR... Kenapa jadi nyerang kebijakan pemerintah Model kayak kamu gampang diprovokasi,1961555043922186337,,Robiaji86,in,,0,2,0,https://x.com/undefined/status/1961555043922186337,1152447574411902977,
1961554874245800398,Fri Aug 29 22:21:40 +0000 2025,1,Sebaiknya jangan bang. Coba aja pemerintah pake gaji DPR buat bayar buzzer ,1961554874245800398,,,in,,0,0,0,https://x.com/undefined/status/1961554874245800398,1468705399809347585,
1961469472855699488,Fri Aug 29 22:21:11 +0000 2025,6,@tempodotco Bukan ini yg dibutuhkan. Pecat pejabat kepolisian yg tdk mampu jadi polisi yg baik Hentikan kemunafikan. Disatu sisi memangkas anggaran pembangunan menaikkan pajak. Di sisi lain anda menaikkan gaji pejabat dan DPR memanjakan pejabat BUMN utk jalan2 ke Swiss dll ,1961554752308986316,,tempodotco,in,,0,0,0,https://x.com/undefined/status/1961554752308986316,1691326691921260544,
1961334963015717006,Fri Aug 29 22:20:06 +0000 2025,0,@kompascom Rieke Diah Pitaloka berasal dari PDIP yang mendukung revisi UU TNI juga mendukung gaji &amp; tunjangan anggota DPR ratusan juta Rupiah.,1961554479356284979,,kompascom,in,,0,0,0,https://x.com/undefined/status/1961554479356284979,172685134,
1961393320649011418,Fri Aug 29 22:18:58 +0000 2025,3,@DPR_RI akar masalahnya itu kalian joged2 gaji dinaikan mulut kotor eko patrio uya kuya syahroni beragam fasilitas yg naik fantastis perampasan aset koruptor yg tdk disahkan skr pada kabur ke luar negeri kalian adu domba kami dgn aparat babi koen kabeh,1961554193019494718,,DPR_RI,in,,0,0,2,https://x.com/undefined/status/1961554193019494718,1603577301526286336,
1961554097817240035,Fri Aug 29 22:18:35 +0000 2025,0,padahal mata telinga mulut udh bisa lihat dpr tikus pejabat korup aparat bengis bagi dia mah masih bisa cari jalan tengahnya. ya kalo emg ada jalan tengah jgn nyusahin rakyat lo anjg. kasih mereka loker dengan gaji yg layak pajak masuk akal tolol permudah bukan mempersulit.,1961554097817240035,,,in,,0,0,0,https://x.com/undefined/status/1961554097817240035,1708256259148038144,
1961448802541240739,Fri Aug 29 22:18:21 +0000 2025,0,@bersharing @tanyarlfes gaji 10 anggora dpr di kumpulin bisa buat gedung,1961554039419867647,,bersharing,in,,0,0,0,https://x.com/undefined/status/1961554039419867647,1238330351082024960,
1961460653060972955,Fri Aug 29 22:16:13 +0000 2025,1,@Ari3Ghozi @Gus_Arifin @prabowo @puanmaharani_ri Berawal dari program MBG yg membuat kebocoran APBN kemudian ditutup pajak brutal ! gaji &amp; tunjangan dpr yg bgt fantastis ditengah kesulitan rakyat para bajingan yg celometan menipu &amp; menyakiti rakyat tidak cuma ditindas skr malah dilindas ! Ampun dah..... ,1961553502196662661,,Ari3Ghozi,in,,0,0,0,https://x.com/undefined/status/1961553502196662661,157942183,
